 
"Brand Name",Date,Turnover
O-Brand,2018-05-01,8400.2754
O-Brand,2018-05-02,8716.4176
O-Brand,2018-05-03,6356.7745
O-Brand,2018-05-04,473.7709
O-Brand,2018-05-05,23896.9628
O-Brand,2018-05-06,2190.4093
O-Brand,2018-05-07,25875.9444
O-Brand,2018-05-08,3798.0830
O-Brand,2018-05-09,32661.4914
O-Brand,2018-05-10,8461.0501
O-Brand,2018-05-11,25389.9996
O-Brand,2018-05-12,14516.9373
O-Brand,2018-05-13,20295.7320
O-Brand,2018-05-14,22939.6329
O-Brand,2018-05-15,5167.8245
O-Brand,2018-05-16,23276.5047
O-Brand,2018-05-17,27289.5388
O-Brand,2018-05-18,18162.1158
O-Brand,2018-05-19,10836.9435
O-Brand,2018-05-20,8906.6417
O-Brand,2018-05-21,20054.9321
O-Brand,2018-05-22,31241.4111
O-Brand,2018-05-23,10817.9677
O-Brand,2018-05-24,22985.0421
O-Brand,2018-05-25,22476.5981
O-Brand,2018-05-26,6262.9620
O-Brand,2018-05-27,33910.3629
O-Brand,2018-05-28,34513.7254
O-Brand,2018-05-29,25840.2838
O-Brand,2018-05-30,16358.5300
O-Brand,2018-05-31,29157.7940
O-Brand,2018-06-01,11522.1342
O-Brand,2018-06-02,10739.9315
O-Brand,2018-06-03,18020.6505
O-Brand,2018-06-04,4400.0946
O-Brand,2018-06-05,4524.8514
O-Brand,2018-06-06,6655.4024
O-Brand,2018-06-07,18077.0407
O-Brand,2018-06-08,13616.5822
O-Brand,2018-06-09,10702.5329
O-Brand,2018-06-10,12909.2873
O-Brand,2018-06-11,1309.1248
O-Brand,2018-06-12,26807.6625
O-Brand,2018-06-13,10801.6305
O-Brand,2018-06-14,14604.0190
O-Brand,2018-06-15,33122.9620
O-Brand,2018-06-16,19700.5302
O-Brand,2018-06-17,6550.9328
O-Brand,2018-06-18,33373.7633
O-Brand,2018-06-19,14901.2249
O-Brand,2018-06-20,33061.5474
O-Brand,2018-06-21,18901.8639
